Country,Measles 
Afghanistan,492
Albania,
Algeria,0
Andorra,0
Angola,11699
Antigua and Barbuda,0
Argentina,1
Armenia,13
Australia,340
Austria,117
Azerbaijan,0
Bahamas,0
Bahrain,46
Bangladesh,289
Barbados,0
Belarus,64
Belgium,70
Belize,0
Benin,786
Bhutan,0
Bolivia (Plurinational State of),0
Bosnia and Herzegovina,3000
Botswana,1
Brazil,876
Brunei Darussalam,1
Bulgaria,0
Burkina Faso,343
Burundi,0
Cabo Verde,0
Cambodia,0
Cameroon,831
Canada,418
Central African Republic,210
Chad,1275
Chile,0
China,52628
Colombia,0
Comoros,0
Congo,71
Cook Islands,
Costa Rica,1
C̫te d'Ivoire,50
Croatia,
Cuba,0
Cyprus,10
Czechia,222
Democratic People's Republic of Korea,3
Democratic Republic of the Congo,33711
Denmark,27
Djibouti,
Dominica,0
Dominican Republic,0
Ecuador,0
Egypt,1314
El Salvador,0
Equatorial Guinea,13
Eritrea,127
Estonia,0
Eswatini,0
Ethiopia,12739
Fiji,
Finland,
France,267
Gabon,33
Gambia,1
Georgia,3188
Germany,443
Ghana,124
Greece,1
Grenada,0
Guatemala,0
Guinea,175
Guinea-Bissau,1
Guyana,0
Haiti,0
Honduras,0
Hungary,0
Iceland,0
India,26530
Indonesia,12943
Iran (Islamic Republic of),99
Iraq,1317
Ireland,33
Israel,6
Italy,
Jamaica,0
Japan,462
Jordan,20
Kazakhstan,321
Kenya,354
Kiribati,0
Kuwait,55
Kyrgyzstan,318
Lao People's Democratic Republic,339
Latvia,36
Lebanon,112
Lesotho,0
Liberia,34
Libya,372
Lithuania,11
Luxembourg,
Madagascar,3
Malawi,3
Malaysia,221
Maldives,0
Mali,290
Malta,0
Marshall Islands,
Mauritania,14
Mauritius,0
Mexico,3
Micronesia (Federated States of),140
Monaco,
Mongolia,0
Montenegro,
Morocco,10
Mozambique,9
Myanmar,122
Namibia,477
Nauru,
Nepal,1279
Netherlands,140
New Zealand,280
Nicaragua,0
Niger,1142
Nigeria,6855
Niue,
Norway,3
"occupied Palestinian territory, including east Jerusalem",
Oman,
Pakistan,1370
Palau,0
Panama,0
Papua New Guinea,2299
Paraguay,0
Peru,0
Philippines,58848
Poland,
Portugal,
Qatar,46
Republic of Korea,442
Republic of Moldova,2
North Macedonia,116
Romania,59
Russian Federation,4711
Rwanda,10
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,
San Marino,
Sao Tome and Principe,0
Saudi Arabia,154
Senegal,32
Serbia,37
Seychelles,0
Sierra Leone,1006
Singapore,
Slovakia,0
Slovenia,52
Solomon Islands,
Somalia,10229
South Africa,66
South Sudan,441
Spain,154
Sri Lanka,1686
Sudan,676
Suriname,0
Sweden,26
Switzerland,23
Syrian Arab Republic,594
Tajikistan,0
Thailand,
Timor-Leste,47
Togo,577
Tonga,
Trinidad and Tobago,0
Tunisia,15
Turkey,565
Turkmenistan,0
Tuvalu,
Uganda,314
Ukraine,
United Arab Emirates,344
United Kingdom of Great Britain and Northern Ireland,133
United Republic of Tanzania,88
United States of America,667
Uruguay,0
Uzbekistan,8
Vanuatu,10
Venezuela (Bolivarian Republic of),0
Viet Nam,15033
Yemen,815
Zambia,9
Zimbabwe,0
