Country,Adult Mortality
Afghanistan,234
Albania,98
Algeria,98
Angola,244
Antigua and Barbuda,127
Argentina,113
Armenia,118
Australia,61
Austria,65
Azerbaijan,121
Bahamas,168
Bahrain,62
Bangladesh,136
Barbados,101
Belarus,175
Belgium,73
Belize,183
Benin,248
Bhutan,215
Bolivia (Plurinational State of),188
Bosnia and Herzegovina,96
Botswana,277
Brazil,145
Brunei Darussalam,96
Bulgaria,141
Burkina Faso,264
Burundi,300
Cabo Verde,126
Cambodia,178
Cameroon,358
Canada,65
Central African Republic,444
Chad,374
Chile,88
China,83
Colombia,139
Comoros,230
Congo,279
Costa Rica,95
C̫te d'Ivoire,418
Croatia,94
Cuba,95
Cyprus,61
Czechia,85
Democratic People's Republic of Korea,136
Democratic Republic of the Congo,265
Denmark,68
Djibouti,256
Dominican Republic,166
Ecuador,119
Egypt,165
El Salvador,182
Equatorial Guinea,307
Eritrea,265
Estonia,124
Eswatini,408
Ethiopia,230
Fiji,190
Finland,73
France,74
Gabon,235
Gambia,267
Georgia,155
Germany,70
Ghana,248
Greece,67
Grenada,143
Guatemala,169
Guinea,290
Guinea-Bissau,282
Guyana,264
Haiti,248
Honduras,148
Hungary,133
Iceland,55
India,183
Indonesia,180
Iran (Islamic Republic of),83
Iraq,192
Ireland,62
Israel,58
Italy,54
Jamaica,132
Japan,54
Jordan,113
Kazakhstan,199
Kenya,239
Kiribati,201
Kuwait,81
Kyrgyzstan,175
Lao People's Democratic Republic,201
Latvia,159
Lebanon,99
Lesotho,495
Liberia,310
Libya,137
Lithuania,167
Luxembourg,55
Madagascar,225
Malawi,279
Malaysia,128
Maldives,57
Mali,281
Malta,53
Mauritania,206
Mauritius,148
Mexico,129
Micronesia (Federated States of),167
Mongolia,215
Montenegro,103
Morocco,72
Mozambique,387
Myanmar,200
Namibia,286
Nepal,160
Netherlands,59
New Zealand,67
Nicaragua,150
Niger,258
Nigeria,361
Norway,57
Oman,100
Pakistan,167
Panama,111
Papua New Guinea,228
Paraguay,147
Peru,127
Philippines,197
Poland,115
Portugal,77
Qatar,64
Republic of Korea,66
Republic of Moldova,180
North Macedonia,98
Romania,140
Russian Federation,214
Rwanda,207
Saint Lucia,145
Saint Vincent and the Grenadines,170
Samoa,115
Sao Tome and Principe,193
Saudi Arabia,91
Senegal,193
Serbia,106
Seychelles,168
Sierra Leone,446
Singapore,55
Slovakia,109
Slovenia,70
Solomon Islands,156
Somalia,311
South Africa,316
South Sudan,343
Spain,58
Sri Lanka,131
Sudan,229
Suriname,184
Sweden,55
Switzerland,50
Syrian Arab Republic,368
Tajikistan,127
Thailand,151
Timor-Leste,155
Togo,274
Tonga,136
Trinidad and Tobago,174
Tunisia,94
Turkey,107
Turkmenistan,199
Uganda,304
Ukraine,212
United Arab Emirates,76
United Kingdom of Great Britain and Northern Ireland,68
United Republic of Tanzania,282
United States of America,106
Uruguay,114
Uzbekistan,139
Vanuatu,136
Venezuela (Bolivarian Republic of),159
Viet Nam,128
Yemen,226
Zambia,299
Zimbabwe,358
