"Country","Diptheria"
"Afghanistan","62"
"Albania","98"
"Algeria","95"
"Andorra","97"
"Angola","55"
"Antigua and Barbuda","99"
"Argentina","94"
"Armenia","93"
"Australia","92"
"Austria","98"
"Azerbaijan","94"
"Bahamas","96"
"Bahrain","98"
"Bangladesh","97"
"Barbados","94"
"Belarus","97"
"Belgium","99"
"Belize","95"
"Benin","74"
"Bhutan","99"
"Bolivia (Plurinational State of)","85"
"Bosnia and Herzegovina","86"
"Botswana","95"
"Brazil","93"
"Brunei Darussalam","99"
"Bulgaria","88"
"Burkina Faso","91"
"Burundi","95"
"Cabo Verde","95"
"Cambodia","91"
"Cameroon","83"
"Canada","91"
"Central African Republic","45"
"Chad","36"
"Chile","95"
"China","99"
"Colombia","90"
"Comoros","87"
"Congo","90"
"Cook Islands","99"
"Costa Rica","91"
"C̫te d'Ivoire","73"
"Croatia","95"
"Cuba","99"
"Cyprus","99"
"Czechia","97"
"Democratic People's Republic of Korea","93"
"Democratic Republic of the Congo","68"
"Denmark","94"
"Djibouti","78"
"Dominica","97"
"Dominican Republic","91"
"Ecuador","83"
"Egypt","94"
"El Salvador","94"
"Equatorial Guinea","53"
"Eritrea","94"
"Estonia","93"
"Eswatini","98"
"Ethiopia","61"
"Fiji","99"
"Finland","98"
"France","98"
"Gabon","70"
"Gambia","96"
"Georgia","91"
"Germany","93"
"Ghana","98"
"Greece","99"
"Grenada","97"
"Guatemala","73"
"Guinea","44"
"Guinea-Bissau","86"
"Guyana","98"
"Haiti","63"
"Honduras","99"
"Hungary","99"
"Iceland","90"
"India","85"
"Indonesia","88"
"Iran (Islamic Republic of)","99"
"Iraq","73"
"Ireland","96"
"Israel","95"
"Italy","95"
"Jamaica","92"
"Japan","96"
"Jordan","98"
"Kazakhstan","95"
"Kenya","92"
"Kiribati","75"
"Kuwait","95"
"Kyrgyzstan","96"
"Lao People's Democratic Republic","83"
"Latvia","92"
"Lebanon","83"
"Lesotho","88"
"Liberia","63"
"Libya","94"
"Lithuania","93"
"Luxembourg","99"
"Madagascar","68"
"Malawi","91"
"Malaysia","97"
"Maldives","99"
"Mali","66"
"Malta","99"
"Marshall Islands","78"
"Mauritania","81"
"Mauritius","97"
"Mexico","87"
"Micronesia (Federated States of)","77"
"Monaco","99"
"Mongolia","99"
"Montenegro","91"
"Morocco","99"
"Mozambique","88"
"Myanmar","88"
"Namibia","88"
"Nauru","95"
"Nepal","92"
"Netherlands","96"
"New Zealand","93"
"Nicaragua","98"
"Niger","81"
"Nigeria","43"
"Niue","99"
"Norway","93"
"occupied Palestinian territory, including east Jerusalem","99"
"Oman","99"
"Pakistan","69"
"Palau","95"
"Panama","80"
"Papua New Guinea","52"
"Paraguay","93"
"Peru","88"
"Philippines","63"
"Poland","98"
"Portugal","98"
"Qatar","89"
"Republic of Korea","99"
"Republic of Moldova","90"
"North Macedonia","95"
"Romania","94"
"Russian Federation","97"
"Rwanda","98"
"Saint Kitts and Nevis","98"
"Saint Lucia","99"
"Saint Vincent and the Grenadines","98"
"Samoa","81"
"San Marino","84"
"Sao Tome and Principe","95"
"Saudi Arabia","98"
"Senegal","89"
"Serbia","93"
"Seychelles","99"
"Sierra Leone","83"
"Singapore","96"
"Slovakia","97"
"Slovenia","95"
"Solomon Islands","77"
"Somalia","42"
"South Africa","85"
"South Sudan","50"
"Spain","97"
"Sri Lanka","99"
"Sudan","94"
"Suriname","71"
"Sweden","97"
"Switzerland","96"
"Syrian Arab Republic","43"
"Tajikistan","97"
"Thailand","99"
"Timor-Leste","77"
"Togo","84"
"Tonga","98"
"Trinidad and Tobago","92"
"Tunisia","94"
"Turkey","96"
"Turkmenistan","98"
"Tuvalu","89"
"Uganda","85"
"Ukraine","23"
"United Arab Emirates","99"
"United Kingdom of Great Britain and Northern Ireland","95"
"United Republic of Tanzania","97"
"United States of America","95"
"Uruguay","95"
"Uzbekistan","99"
"Vanuatu","86"
"Venezuela (Bolivarian Republic of)","78"
"Viet Nam","95"
"Yemen","73"
"Zambia","86"
"Zimbabwe","91"
