Country,HepB
Afghanistan,62
Albania,98
Algeria,95
Andorra,95
Angola,55
Antigua and Barbuda,99
Argentina,94
Armenia,93
Australia,91
Austria,98
Azerbaijan,94
Bahamas,96
Bahrain,98
Bangladesh,97
Barbados,94
Belarus,97
Belgium,98
Belize,95
Benin,74
Bhutan,99
Bolivia (Plurinational State of),85
Bosnia and Herzegovina,89
Botswana,95
Brazil,96
Brunei Darussalam,99
Bulgaria,95
Burkina Faso,91
Burundi,95
Cabo Verde,96
Cambodia,91
Cameroon,83
Canada,55
Central African Republic,45
Chad,36
Chile,95
China,99
Colombia,90
Comoros,88
Congo,90
Cook Islands,99
Costa Rica,91
C̫te d'Ivoire,73
Croatia,95
Cuba,97
Cyprus,96
Czechia,99
Democratic People's Republic of Korea,93
Democratic Republic of the Congo,68
Djibouti,78
Dominica,97
Dominican Republic,89
Ecuador,83
Egypt,94
El Salvador,93
Equatorial Guinea,53
Eritrea,94
Estonia,93
Eswatini,98
Ethiopia,61
Fiji,99
France,83
Gabon,70
Gambia,96
Georgia,91
Germany,87
Ghana,98
Greece,96
Grenada,97
Guatemala,73
Guinea,44
Guinea-Bissau,86
Guyana,98
Haiti,63
Honduras,99
India,79
Indonesia,88
Iran (Islamic Republic of),99
Iraq,69
Ireland,95
Israel,97
Italy,95
Jamaica,92
Japan,
Jordan,98
Kazakhstan,95
Kenya,92
Kiribati,75
Kuwait,96
Kyrgyzstan,96
Lao People's Democratic Republic,83
Latvia,92
Lebanon,80
Lesotho,88
Liberia,63
Libya,94
Lithuania,94
Luxembourg,94
Madagascar,68
Malawi,91
Malaysia,96
Maldives,99
Mali,66
Malta,90
Marshall Islands,79
Mauritania,81
Mauritius,97
Mexico,84
Micronesia (Federated States of),81
Monaco,99
Mongolia,99
Montenegro,87
Morocco,99
Mozambique,88
Myanmar,88
Namibia,88
Nauru,95
Nepal,92
Netherlands,94
New Zealand,93
Nicaragua,98
Niger,81
Nigeria,43
Niue,99
Norway,
"occupied Palestinian territory, including east Jerusalem",99
Oman,99
Pakistan,69
Palau,99
Panama,80
Papua New Guinea,57
Paraguay,93
Peru,88
Philippines,63
Poland,96
Portugal,98
Qatar,89
Republic of Korea,99
Republic of Moldova,92
North Macedonia,97
Romania,94
Russian Federation,97
Rwanda,98
Saint Kitts and Nevis,98
Saint Lucia,99
Saint Vincent and the Grenadines,98
Samoa,81
San Marino,83
Sao Tome and Principe,95
Saudi Arabia,98
Senegal,89
Serbia,92
Seychelles,99
Sierra Leone,83
Singapore,96
Slovakia,97
Solomon Islands,77
Somalia,42
South Africa,85
South Sudan,
Spain,96
Sri Lanka,99
Sudan,94
Suriname,71
Sweden,42
Switzerland,
Syrian Arab Republic,47
Tajikistan,97
Thailand,99
Timor-Leste,77
Togo,84
Tonga,98
Trinidad and Tobago,92
Tunisia,94
Turkey,96
Turkmenistan,97
Tuvalu,89
Uganda,85
Ukraine,22
United Arab Emirates,99
United Kingdom of Great Britain and Northern Ireland,
United Republic of Tanzania,97
United States of America,92
Uruguay,95
Uzbekistan,99
Vanuatu,86
Venezuela (Bolivarian Republic of),78
Viet Nam,95
Yemen,73
Zambia,86
Zimbabwe,91
