Country,lifeExpBirth,lifeExp60,HALE_Birth,HALE60
Afghanistan,61.7,15.6,52.6,11.2
Albania,77.8,21.1,69,16.7
Algeria,76.5,21.8,66,15.9
Angola,61.7,16.7,53.7,12.4
Antigua and Barbuda,76.1,20.4,66.8,15.8
Argentina,76.2,21,66.9,16.2
Armenia,74.5,19.4,66,15
Australia,82.3,25,70.6,18.6
Austria,81,23.6,70.4,17.9
Azerbaijan,70.7,16.6,63.1,13.1
Bahamas,72.9,20.9,64.2,16.2
Bahrain,76.5,19.7,66.2,14.2
Bangladesh,73.6,20.9,63.8,15.5
Barbados,76.2,21.4,67.2,16.8
Belarus,73.8,19.2,65.1,14.7
Belgium,80.7,23.6,70,17.9
Belize,74,21.5,65.1,16.7
Benin,62,17,54.3,12.7
Bhutan,72.2,19.2,62.6,14.4
Bolivia (Plurinational State of),71.5,18.5,62.7,14.1
Bosnia and Herzegovina,76.3,19.8,67,15
Botswana,60.9,15.9,52.8,11.6
Brazil,75.1,21.4,64.7,15.9
Brunei Darussalam,74.4,19,65.7,14.3
Bulgaria,74.6,19.4,65.9,15
Burkina Faso,60.9,16.4,53.4,12.3
Burundi,62,16.2,54,12.4
Cabo Verde,74.9,21.7,65.2,16.3
Cambodia,69.2,17.6,60.7,13.1
Cameroon,59.1,16.4,51.8,12.3
Canada,81.8,24.7,71.1,18.8
Central African Republic,50.5,12.8,44.2,9.6
Chad,57.9,16.2,50.5,12
Chile,79.8,23.6,69.4,18
China,76.6,20.6,68,15.6
Colombia,78.4,23.4,68.3,17.7
Comoros,66.5,17.9,58.2,13.5
Congo,63.1,16.1,54.9,12
Costa Rica,80.8,24.9,70,18.6
C̫te d'Ivoire,60.2,16.4,52.5,12.2
Croatia,77.6,21,67.9,15.8
Cuba,77.9,21.8,68,16.5
Cyprus,82,24.2,71.6,18.5
Czechia,78.5,21.5,68.3,15.9
Democratic People's Republic of Korea,71.8,18.6,64.3,14.5
Democratic Republic of the Congo,60.4,16.2,52.4,12.3
Denmark,80.6,23.2,70.5,17.9
Djibouti,64.6,17.5,57,13.4
Dominican Republic,71.8,20.2,63.2,15.7
Ecuador,77.2,22.5,67.5,17.1
Egypt,70.5,17,62,12.8
El Salvador,73.2,21.8,63.5,16.2
Equatorial Guinea,61.1,17.7,52.9,12.9
Eritrea,62.3,15.1,54.1,11.1
Estonia,77.6,21.9,68.3,16.8
Eswatini,54,14.6,46.9,10.6
Ethiopia,66.8,18.1,58.3,13.6
Fiji,67.8,16,59.6,11.7
Finland,81.2,23.9,70.7,18.3
France,81.9,25,71.7,19.5
Gabon,64.9,16.9,56.3,12.6
Gambia,64.1,16.7,55.8,12.5
Georgia,72.6,18.4,64.2,14.2
Germany,80.4,23.2,70.1,17.7
Ghana,64.5,16.8,56.5,12.6
Greece,80.4,23.5,70.4,18.2
Grenada,72.7,18.9,63.9,14.5
Guatemala,70.9,19.9,61.5,14.6
Guinea,58.8,15.9,51.5,11.9
Guinea-Bissau,58.2,15,50.9,11
Guyana,65.6,16.6,57.2,12.6
Haiti,62.6,16.5,54.6,12.6
Honduras,69.8,17.9,61.3,13.5
Hungary,75.6,19.9,66.6,15.1
Iceland,82.1,24.4,71.9,18.9
India,69.3,18.5,59.1,13.1
Indonesia,70.6,17.7,62.3,13.2
Iran (Islamic Republic of),76.7,21.6,65.7,15.5
Iraq,70.3,19.2,60.8,14.2
Ireland,81.1,23.7,70.7,18.3
Israel,81.9,24.3,71.8,18.8
Italy,82.2,24.5,71.6,18.6
Jamaica,75.9,21.4,66.6,16.5
Japan,83.6,25.9,73.6,20
Jordan,77.8,21.8,67.6,16.2
Kazakhstan,71.9,18.6,63.4,14.2
Kenya,64.2,17.3,56.1,12.8
Kiribati,58.2,13.5,51.6,10.2
Kuwait,81.1,24.2,70.2,18
Kyrgyzstan,71.6,18.4,63.7,14.5
Lao People's Democratic Republic,67.1,17.5,59.3,13.2
Latvia,74.8,20.4,65.8,15.5
Lebanon,76,20.1,65.7,14.8
Lesotho,47.7,12.7,41.6,9.3
Liberia,61.2,17.1,52.5,12.3
Libya,74.6,21.3,64.3,15.6
Lithuania,74.4,20.3,65.3,15.4
Luxembourg,82.3,24.4,71.5,18.6
Madagascar,64.2,16.5,56.3,12.4
Malawi,63,16.9,54.9,12.5
Malaysia,75,19.9,65.8,14.8
Maldives,78.4,21.3,69.1,16.2
Mali,60.9,17.1,53,12.5
Malta,81.6,24.2,71.3,18.7
Mauritania,67.4,18.8,58.9,14.2
Mauritius,74.1,20.2,64,14.4
Mexico,75.9,21.7,65.8,16.1
Micronesia (Federated States of),62.7,14.8,55.8,11.2
Mongolia,67.6,16.5,59.9,12.6
Montenegro,75.3,19,66.6,14.7
Morocco,72.5,18.5,63.3,14.1
Mozambique,55.9,15.3,48.6,11.2
Myanmar,67.6,17.7,59.6,13.3
Namibia,62.9,17,54.6,12.5
Nepal,69.4,17.8,60.2,13.1
Netherlands,81.3,23.6,71.1,18.1
New Zealand,81.3,24.3,69.9,18.2
Nicaragua,74.6,19.9,65.2,15.1
Niger,61.5,16.8,54.1,12.8
Nigeria,61.2,17.8,53.1,13.2
Norway,82,24.2,71.2,18.3
Oman,72.5,16.7,63.7,12.5
Pakistan,64.2,16.8,55.8,12.3
Panama,78.7,24,68.3,18
Papua New Guinea,64.5,16.3,56.4,12.2
Paraguay,75.6,21.8,65.6,16.5
Peru,79.1,24,68.8,18.2
Philippines,70.3,17.8,61.9,13.5
Poland,77.3,21.5,68,16.4
Portugal,80.9,23.8,70.5,18.3
Qatar,76.4,19,66.4,13.8
Republic of Korea,82.2,24.8,72,19
Republic of Moldova,71.1,17.8,62.9,13.6
North Macedonia,73.7,17.9,65.3,13.7
Romania,74.8,19.9,66.3,15.4
Russian Federation,71.3,19.1,62.7,14.4
Rwanda,67.7,17.9,58.9,13.5
Saint Lucia,75,21.7,65.2,16.4
Saint Vincent and the Grenadines,72.5,20.1,63.5,15.4
Samoa,70,17.7,61.9,13.3
Sao Tome and Principe,69.6,17.6,60.9,13
Saudi Arabia,73.2,19.2,63.2,13.6
Senegal,67.2,17.8,58.2,12.9
Serbia,75.2,19.2,66.4,14.7
Seychelles,73.2,19.5,64,14.1
Sierra Leone,56.9,16.4,49.7,12.2
Singapore,82.8,25.1,73.2,19.5
Slovakia,77,21,67.6,16
Slovenia,80.5,23.3,70,17.4
Solomon Islands,64.7,15.3,57.4,11.7
Somalia,54.6,14.2,48.1,10.9
South Africa,62.6,17.7,54.1,12.9
South Sudan,62,17.4,53,12.4
Spain,82.3,24.7,71.6,18.8
Sri Lanka,76.3,20.7,66.6,15.2
Sudan,67.9,18.5,58.9,13.5
Suriname,72.6,19.8,63.2,15
Sweden,81.7,24,71.4,18.5
Switzerland,82.6,24.8,71.7,19
Syrian Arab Republic,64.4,16.2,56.3,12.2
Tajikistan,68.7,15.5,61.4,12.3
Thailand,77.4,23.5,68,17.9
Timor-Leste,68.9,18,60.3,13.3
Togo,61.9,16.5,54.2,12.4
Tonga,72.3,18.9,63.9,14.4
Trinidad and Tobago,74.6,21.6,65.2,16.5
Tunisia,76.7,21.2,66.7,15.8
Turkey,77.8,21.5,67.7,16.2
Turkmenistan,69.1,18,61.7,14.2
Uganda,64.5,17.4,56.3,13.1
Ukraine,72.2,18.9,63.8,14.6
United Arab Emirates,75.3,19.4,65.4,14.1
United Kingdom of Great Britain and Northern Ireland,80.7,23.5,69.7,17.9
United Republic of Tanzania,65.4,17.8,56.7,13.1
United States of America,78.6,23.1,66.6,16.5
Uruguay,77,21.8,67.5,16.8
Uzbekistan,71.4,17.8,63.5,13.9
Vanuatu,64.6,15.5,57.4,11.9
Venezuela (Bolivarian Republic of),74.7,21.8,65.1,16.4
Viet Nam,73.2,19.4,64.9,14.7
Yemen,67.5,18,58.4,13.5
Zambia,60.5,16.1,52.7,12.3
Zimbabwe,58.5,15.1,51.2,11.2
