Country,thinness 5-19 years
Afghanistan,17.7
Albania,1.3
Algeria,5.9
Andorra,0.8
Angola,8.6
Antigua and Barbuda,3.3
Argentina,0.9
Armenia,2.1
Australia,0.6
Austria,1.9
Azerbaijan,2.8
Bahamas,2.5
Bahrain,6.1
Bangladesh,18.5
Barbados,3.8
Belarus,2
Belgium,1
Belize,3.4
Benin,7.2
Bhutan,16.1
Bolivia (Plurinational State of),1.1
Bosnia and Herzegovina,2.4
Botswana,6.9
Brazil,2.8
Brunei Darussalam,5.6
Bulgaria,1.9
Burkina Faso,8.2
Burundi,7.4
Cabo Verde,6.9
Cambodia,11
Cameroon,5.8
Canada,0.5
Central African Republic,8.5
Chad,8.8
Chile,0.8
China,3.6
Colombia,2.1
Comoros,6.8
Congo,7.6
Cook Islands,0.1
Costa Rica,1.7
C̫te d'Ivoire,5.8
Croatia,1.5
Cuba,3.4
Cyprus,0.9
Czechia,1.9
Democratic People's Republic of Korea,5
Democratic Republic of the Congo,9.8
Denmark,1
Djibouti,5.5
Dominica,2.7
Dominican Republic,3.3
Ecuador,1.2
Egypt,2.8
El Salvador,1.6
Equatorial Guinea,8.6
Eritrea,8.5
Estonia,1.9
Eswatini,4.6
Ethiopia,10.6
Fiji,3.9
Finland,0.9
France,0.6
Gabon,6.2
Gambia,7.6
Georgia,2.7
Germany,1.1
Ghana,6.5
Greece,0.7
Grenada,3.8
Guatemala,1.2
Guinea,7.6
Guinea-Bissau,7.4
Guyana,5.4
Haiti,3.9
Honduras,2.1
Hungary,1.7
Iceland,1
India,27.1
Indonesia,10.4
Iran (Islamic Republic of),8.2
Iraq,5.2
Ireland,0.2
Israel,1.2
Italy,0.5
Jamaica,1.8
Japan,1.9
Jordan,3.9
Kazakhstan,2.4
Kenya,7.8
Kiribati,0.1
Kuwait,3.4
Kyrgyzstan,3.3
Lao People's Democratic Republic,9
Latvia,2.2
Lebanon,4.8
Lesotho,6
Liberia,6.8
Libya,5.6
Lithuania,2.7
Luxembourg,0.9
Madagascar,7.3
Malawi,6.5
Malaysia,7.7
Maldives,13.7
Mali,8
Malta,0.8
Marshall Islands,0.1
Mauritania,8
Mauritius,7
Mexico,1.5
Micronesia (Federated States of),0.2
Monaco,No data
Mongolia,2.2
Montenegro,1.8
Morocco,6.3
Mozambique,3.6
Myanmar,13
Namibia,9
Nauru,0.1
Nepal,16.2
Netherlands,0.9
New Zealand,0.3
Nicaragua,1.8
Niger,10
Nigeria,10.3
Niue,0.1
Norway,0.7
Oman,7
Pakistan,19.7
Palau,0.1
Panama,1.9
Papua New Guinea,1.3
Paraguay,2
Peru,1.1
Philippines,9.9
Poland,2
Portugal,0.6
Qatar,5
Republic of Korea,1.3
Republic of Moldova,2.8
North Macedonia,2.2
Romania,2.7
Russian Federation,2.3
Rwanda,5.9
Saint Kitts and Nevis,3.6
Saint Lucia,4.3
Saint Vincent and the Grenadines,3.5
Samoa,0.2
San Marino,No data
Sao Tome and Principe,5.6
Saudi Arabia,7.6
Senegal,9.8
Serbia,2.1
Seychelles,5.8
Sierra Leone,7.7
Singapore,2.2
Slovakia,1.2
Slovenia,1.4
Solomon Islands,1.1
Somalia,6.7
South Africa,5.8
South Sudan,No data
Spain,0.6
Sri Lanka,15.2
Sudan,No data
Sudan (former),7.3
Suriname,3.5
Sweden,1.4
Switzerland,0.4
Syrian Arab Republic,6.2
Tajikistan,3.7
Thailand,7.9
Timor-Leste,11.1
Togo,6.7
Tonga,0.1
Trinidad and Tobago,5.9
Tunisia,6.4
Turkey,4.8
Turkmenistan,3.2
Tuvalu,0.1
Uganda,5.7
Ukraine,2.4
United Arab Emirates,5.1
United Kingdom of Great Britain and Northern Ireland,0.7
United Republic of Tanzania,6.8
United States of America,0.7
Uruguay,1.5
Uzbekistan,3
Vanuatu,1.5
Venezuela (Bolivarian Republic of),1.5
Viet Nam,14.5
Yemen,13.6
Zambia,6.3
Zimbabwe,6.1
